Request URL,# Redirects,Status Code,URL,Error Message
,,200,https://jcampbell.caseworkermp.com/,
http://mcampbellsavours.caseworkermp.com,1,302,http://mcampbellsavours.caseworkermp.com,
,,200,https://mcampbellsavours.caseworkermp.com/,
http://ccane.caseworkermp.com,1,302,http://ccane.caseworkermp.com,
,,200,https://ccane.caseworkermp.com/,
http://dcarden.caseworkermp.com,1,302,http://dcarden.caseworkermp.com,
,,200,https://dcarden.caseworkermp.com/,
http://scarling.caseworkermp.com,1,302,http://scarling.caseworkermp.com,
,,200,https://scarling.caseworkermp.com/,
http://acarmichael.caseworkermp.com,1,302,http://acarmichael.caseworkermp.com,
,,200,https://acarmichael.caseworkermp.com/,
http://acarns.caseworkermp.com,1,302,http://acarns.caseworkermp.com,
,,200,https://acarns.caseworkermp.com/,
http://jcartlidge.caseworkermp.com,1,302,http://jcartlidge.caseworkermp.com,
,,200,https://jcartlidge.caseworkermp.com/,
http://dchadwick.caseworkermp.com,1,302,http://dchadwick.caseworkermp.com,
,,200,https://dchadwick.caseworkermp.com/,
http://wchamberlain.caseworkermp.com,1,302,http://wchamberlain.caseworkermp.com,
,,500,https://wchamberlain.caseworkermp.com/,
http://dchambers.caseworkermp.com,1,302,http://dchambers.caseworkermp.com,
,,200,https://dchambers.caseworkermp.com/,
http://schampion.caseworkermp.com,1,302,http://schampion.caseworkermp.com,
,,200,https://schampion.caseworkermp.com/,
http://bcharalambous.caseworkermp.com,1,302,http://bcharalambous.caseworkermp.com,
,,200,https://bcharalambous.caseworkermp.com/,
http://lcharters.caseworkermp.com,1,302,http://lcharters.caseworkermp.com,
,,200,https://lcharters.caseworkermp.com/,
http://cchope.caseworkermp.com,1,302,http://cchope.caseworkermp.com,
,,500,https://cchope.caseworkermp.com/,
http://echowns.caseworkermp.com,1,302,http://echowns.caseworkermp.com,
,,200,https://echowns.caseworkermp.com/,
http://fclark.caseworkermp.com,1,302,http://fclark.caseworkermp.com,
,,200,https://fclark.caseworkermp.com/,
http://jcleverly.caseworkermp.com,1,302,http://jcleverly.caseworkermp.com,
,,200,https://jcleverly.caseworkermp.com/,
http://gcliftonbrown.caseworkermp.com,1,302,http://gcliftonbrown.caseworkermp.com,
,,200,https://gcliftonbrown.caseworkermp.com/,
http://lcocking.caseworkermp.com,1,302,http://lcocking.caseworkermp.com,
,,200,https://lcocking.caseworkermp.com/,
http://ccoghlan.caseworkermp.com,1,302,http://ccoghlan.caseworkermp.com,
,,200,https://ccoghlan.caseworkermp.com/,
http://bcoleman.caseworkermp.com,1,302,http://bcoleman.caseworkermp.com,
,,200,https://bcoleman.caseworkermp.com/,
http://jcollier.caseworkermp.com,1,302,http://jcollier.caseworkermp.com,
,,200,https://jcollier.caseworkermp.com/,
http://lcollinge.caseworkermp.com,1,302,http://lcollinge.caseworkermp.com,
,,200,https://lcollinge.caseworkermp.com/,
http://tcollins.caseworkermp.com,1,302,http://tcollins.caseworkermp.com,
,,200,https://tcollins.caseworkermp.com/,
http://vcollins.caseworkermp.com,1,302,http://vcollins.caseworkermp.com,
,,200,https://vcollins.caseworkermp.com/,
http://lconlon.caseworkermp.com,1,302,http://lconlon.caseworkermp.com,
,,200,https://lconlon.caseworkermp.com/,
http://scoombes.caseworkermp.com,1,302,http://scoombes.caseworkermp.com,
,,200,https://scoombes.caseworkermp.com/,
http://acooper.caseworkermp.com,1,302,http://acooper.caseworkermp.com,
,,200,https://acooper.caseworkermp.com/,
http://bcooper.caseworkermp.com,1,302,http://bcooper.caseworkermp.com,
,,200,https://bcooper.caseworkermp.com/,
http://dcooper.caseworkermp.com,1,302,http://dcooper.caseworkermp.com,
,,200,https://dcooper.caseworkermp.com/,
http://jcooper.caseworkermp.com,1,302,http://jcooper.caseworkermp.com,
,,200,https://jcooper.caseworkermp.com/,
http://ycooper.caseworkermp.com,1,302,http://ycooper.caseworkermp.com,
,,200,https://ycooper.caseworkermp.com/,
http://jcorbyn.caseworkermp.com,1,302,http://jcorbyn.caseworkermp.com,
,,200,https://jcorbyn.caseworkermp.com/,
http://acosta.caseworkermp.com,1,302,http://acosta.caseworkermp.com,
,,200,https://acosta.caseworkermp.com/,
http://dcostigan.caseworkermp.com,1,302,http://dcostigan.caseworkermp.com,
,,200,https://dcostigan.caseworkermp.com/,
http://ccoutinho.caseworkermp.com,1,302,http://ccoutinho.caseworkermp.com,
,,200,https://ccoutinho.caseworkermp.com/,
http://gcox.caseworkermp.com,1,302,http://gcox.caseworkermp.com,
,,200,https://gcox.caseworkermp.com/,
http://pcox.caseworkermp.com,1,302,http://pcox.caseworkermp.com,
,,200,https://pcox.caseworkermp.com/,
http://ncoyle.caseworkermp.com,1,302,http://ncoyle.caseworkermp.com,
,,200,https://ncoyle.caseworkermp.com/,
http://jcraft.caseworkermp.com,1,302,http://jcraft.caseworkermp.com,
,,200,https://jcraft.caseworkermp.com/,
http://mcreagh.caseworkermp.com,1,302,http://mcreagh.caseworkermp.com,
,,200,https://mcreagh.caseworkermp.com/,
http://screasy.caseworkermp.com,1,302,http://screasy.caseworkermp.com,
,,500,https://screasy.caseworkermp.com/,
http://tcrichton.caseworkermp.com,1,302,http://tcrichton.caseworkermp.com,
,,200,https://tcrichton.caseworkermp.com/,
http://hcross.caseworkermp.com,1,302,http://hcross.caseworkermp.com,
,,200,https://hcross.caseworkermp.com/,
http://pcullen.caseworkermp.com,1,302,http://pcullen.caseworkermp.com,
,,200,https://pcullen.caseworkermp.com/,
http://jcummins.caseworkermp.com,1,302,http://jcummins.caseworkermp.com,
,,200,https://jcummins.caseworkermp.com/,
http://ccurtis.caseworkermp.com,1,302,http://ccurtis.caseworkermp.com,
,,200,https://ccurtis.caseworkermp.com/,
http://jdaby.caseworkermp.com,1,302,http://jdaby.caseworkermp.com,
,,200,https://jdaby.caseworkermp.com/,
http://ndakin.caseworkermp.com,1,302,http://ndakin.caseworkermp.com,
,,200,https://ndakin.caseworkermp.com/,
http://adalton.caseworkermp.com,1,302,http://adalton.caseworkermp.com,
,,200,https://adalton.caseworkermp.com/,
http://adance.caseworkermp.com,1,302,http://adance.caseworkermp.com,
,,200,https://adance.caseworkermp.com/,
http://sdarling.caseworkermp.com,1,302,http://sdarling.caseworkermp.com,
,,200,https://sdarling.caseworkermp.com/,
http://edarlington.caseworkermp.com,1,302,http://edarlington.caseworkermp.com,
,,200,https://edarlington.caseworkermp.com/,
http://edavey.caseworkermp.com,1,302,http://edavey.caseworkermp.com,
,,200,https://edavey.caseworkermp.com/,
http://adavies.caseworkermp.com,1,302,http://adavies.caseworkermp.com,
,,200,https://adavies.caseworkermp.com/,
http://gdavies.caseworkermp.com,1,302,http://gdavies.caseworkermp.com,
,,200,https://gdavies.caseworkermp.com/,
http://jdavies.caseworkermp.com,1,302,http://jdavies.caseworkermp.com,
,,200,https://jdavies.caseworkermp.com/,
